T,M,Time
1,1,.424870
1,10,16.001514
1,20,30.198706
1,30,44.163564
1,40,50.290288
1,50,60.559598
1,100,60.550597
10,1,.271811
10,10,2.093542
10,20,3.525461
10,30,4.942458
10,40,5.625525
10,50,6.559676
10,100,6.584794
20,1,.262945
20,10,1.405767
20,20,2.098128
20,30,2.715041
20,40,3.080177
20,50,3.703221
20,100,3.637761
